,Date,Average Sentiment
315,2018/12/28,-0.13
308,2018/12/5,-0.84
309,2018/12/9,0.54
217,2018/2/1,0.13
225,2018/2/15,0.0
226,2018/2/16,-0.75
227,2018/2/19,-0.91
218,2018/2/2,-0.2
228,2018/2/20,0.4
229,2018/2/21,0.81
230,2018/2/22,-0.32
231,2018/2/26,0.48
219,2018/2/3,0.15
220,2018/2/4,0.1
221,2018/2/5,-0.05
222,2018/2/6,0.2
223,2018/2/7,-0.03
224,2018/2/9,0.56
234,2018/3/11,-0.25
235,2018/3/16,0.3
236,2018/3/29,0.44
237,2018/3/30,0.49
232,2018/3/4,0.48
233,2018/3/8,-0.46
242,2018/4/11,0.0
243,2018/4/12,0.27
244,2018/4/13,-0.6
245,2018/4/17,0.38
246,2018/4/20,0.0
247,2018/4/22,-0.25
248,2018/4/25,-0.61
238,2018/4/3,-0.81
239,2018/4/4,-0.86
240,2018/4/5,-0.44
241,2018/4/6,0.22
249,2018/5/1,0.4
253,2018/5/11,0.0
254,2018/5/14,0.76
255,2018/5/15,0.53
256,2018/5/16,0.68
250,2018/5/2,-0.56
257,2018/5/22,0.14
258,2018/5/23,0.3
259,2018/5/25,0.0
260,2018/5/27,0.9
251,2018/5/6,0.53
252,2018/5/9,0.68
264,2018/6/12,-0.23
265,2018/6/14,0.3
266,2018/6/15,0.42
267,2018/6/19,-0.51
268,2018/6/25,-0.85
269,2018/6/28,0.05
261,2018/6/5,0.64
262,2018/6/6,0.66
263,2018/6/8,-0.3
270,2018/7/1,-0.74
273,2018/7/13,0.61
274,2018/7/15,-0.13
275,2018/7/24,0.34
276,2018/7/26,-0.76
271,2018/7/5,-0.3
272,2018/7/6,0.7
279,2018/8/10,-0.57
280,2018/8/12,-0.03
281,2018/8/14,-0.49
282,2018/8/16,-0.32
283,2018/8/24,-0.03
277,2018/8/3,0.0
278,2018/8/7,0.0
285,2018/9/12,-0.42
286,2018/9/18,-0.65
287,2018/9/19,0.44
288,2018/9/20,-0.71
289,2018/9/23,0.49
290,2018/9/27,-0.14
291,2018/9/30,0.57
284,2018/9/5,0.0
316,2019/1/1,0.25
319,2019/1/27,0.59
320,2019/1/28,0.25
321,2019/1/29,-0.08
317,2019/1/4,0.09
318,2019/1/6,-0.94
323,2019/2/19,-0.86
322,2019/2/7,-0.91
324,2019/3/15,-0.78
325,2019/3/18,-0.25
326,2019/3/19,-0.49
327,2019/3/21,0.0
328,2019/3/22,0.27
329,2019/3/26,0.0
330,2019/3/29,0.58
331,2019/3/31,-0.36
334,2019/4/18,-0.73
332,2019/4/2,0.53
335,2019/4/23,0.21
333,2019/4/3,0.82
