,Date,Average Sentiment
416,2018/1/18,0.99
415,2018/1/2,1.0
227,2018/1/23,-0.4
228,2018/1/25,-0.6
46,2018/1/29,0.03
229,2018/1/30,0.36
230,2018/1/31,-0.93
224,2018/1/5,0.67
225,2018/1/8,0.62
226,2018/1/9,0.27
64,2018/10/1,0.13
430,2018/10/10,1.0
279,2018/10/11,-0.59
66,2018/10/12,-0.0
151,2018/10/17,-0.95
280,2018/10/18,0.99
67,2018/10/19,-0.97
281,2018/10/20,1.0
68,2018/10/22,0.41
69,2018/10/24,-0.24
70,2018/10/25,0.99
282,2018/10/26,0.99
152,2018/10/27,0.98
65,2018/10/3,0.53
71,2018/10/30,0.99
72,2018/10/31,0.08
283,2018/11/1,0.86
74,2018/11/12,-0.32
154,2018/11/13,-0.44
75,2018/11/14,-0.31
286,2018/11/16,0.23
287,2018/11/19,0.32
153,2018/11/2,-0.78
76,2018/11/21,-0.0
288,2018/11/22,0.23
431,2018/11/23,-1.0
155,2018/11/28,0.18
156,2018/11/29,-0.0
289,2018/11/30,0.95
284,2018/11/5,0.38
285,2018/11/8,0.39
73,2018/11/9,-0.48
157,2018/12/12,0.23
432,2018/12/17,0.99
433,2018/12/18,0.71
293,2018/12/19,0.1
294,2018/12/20,0.23
295,2018/12/27,-0.98
296,2018/12/28,-0.65
290,2018/12/3,0.94
77,2018/12/31,-0.95
291,2018/12/4,0.49
292,2018/12/7,0.92
231,2018/2/1,0.99
417,2018/2/12,0.34
47,2018/2/13,-1.0
234,2018/2/15,0.46
235,2018/2/16,0.68
418,2018/2/19,0.27
236,2018/2/20,0.4
237,2018/2/21,-0.98
238,2018/2/22,0.82
239,2018/2/26,-0.06
314,2018/2/27,-0.99
132,2018/2/29,-0.83
232,2018/2/6,0.3
233,2018/2/9,-0.48
133,2018/3/1,-0.15
242,2018/3/12,0.95
243,2018/3/13,1.0
244,2018/3/14,0.96
419,2018/3/15,0.98
49,2018/3/16,0.98
420,2018/3/19,0.99
245,2018/3/20,0.63
421,2018/3/22,0.56
246,2018/3/23,0.22
247,2018/3/26,1.0
248,2018/3/27,0.77
249,2018/3/29,0.91
250,2018/3/30,0.4
240,2018/3/6,0.99
48,2018/3/7,1.0
241,2018/3/8,-0.05
135,2018/4/10,0.07
252,2018/4/11,0.29
253,2018/4/12,-0.02
254,2018/4/16,0.34
255,2018/4/18,-0.9
422,2018/4/2,0.95
256,2018/4/20,0.98
257,2018/4/23,-0.42
439,2018/4/24,0.25
51,2018/4/25,-0.89
258,2018/4/26,0.4
259,2018/4/27,1.0
423,2018/4/4,0.98
251,2018/4/5,-0.88
134,2018/4/6,0.3
424,2018/4/7,-0.1
50,2018/4/9,-0.06
261,2018/5/11,0.3
437,2018/5/2,0.34
262,2018/5/22,-0.57
136,2018/5/24,0.21
263,2018/5/31,1.0
260,2018/5/9,0.69
138,2018/6/11,-0.36
52,2018/6/12,0.79
265,2018/6/13,0.52
266,2018/6/14,-0.26
427,2018/6/15,1.0
139,2018/6/18,-0.97
315,2018/6/20,-0.32
140,2018/6/22,0.0
141,2018/6/27,0.89
267,2018/6/29,0.57
425,2018/6/4,-0.44
137,2018/6/5,0.73
264,2018/6/7,0.08
426,2018/6/8,0.44
53,2018/7/13,0.98
54,2018/7/17,-1.0
269,2018/7/19,1.0
143,2018/7/27,-0.99
142,2018/7/3,0.01
268,2018/7/5,0.99
272,2018/8/10,0.99
144,2018/8/15,-0.97
145,2018/8/17,-0.97
55,2018/8/2,0.76
316,2018/8/20,-0.67
273,2018/8/21,0.46
274,2018/8/22,0.53
275,2018/8/23,-0.67
276,2018/8/28,1.0
57,2018/8/29,0.76
56,2018/8/3,0.85
58,2018/8/30,0.13
270,2018/8/6,0.99
271,2018/8/8,-0.53
277,2018/9/10,0.45
146,2018/9/11,-0.5
147,2018/9/12,0.3
61,2018/9/18,-0.36
62,2018/9/20,0.04
429,2018/9/21,-1.0
278,2018/9/22,0.99
63,2018/9/24,0.53
148,2018/9/25,0.25
317,2018/9/26,-0.95
149,2018/9/27,0.02
150,2018/9/28,-0.54
428,2018/9/3,1.0
59,2018/9/5,0.78
60,2018/9/6,-0.38
297,2019/1/15,0.99
298,2019/1/18,0.98
158,2019/1/22,-0.97
299,2019/1/23,0.4
435,2019/1/24,0.46
436,2019/1/25,1.0
434,2019/1/3,-0.99
79,2019/1/30,-0.97
78,2019/1/8,-0.4
300,2019/2/1,0.98
160,2019/2/13,-0.88
161,2019/2/14,0.54
162,2019/2/15,0.61
301,2019/2/18,0.03
81,2019/2/19,0.72
82,2019/2/25,-0.54
318,2019/2/26,-0.98
83,2019/2/27,-0.36
84,2019/2/28,-0.28
159,2019/2/5,-0.92
80,2019/2/6,0.98
319,2019/3/1,-0.99
303,2019/3/11,0.97
304,2019/3/13,-0.27
305,2019/3/14,1.0
163,2019/3/15,-0.94
306,2019/3/19,0.22
307,2019/3/20,0.99
308,2019/3/22,0.27
88,2019/3/26,0.36
309,2019/3/28,0.68
85,2019/3/4,-0.63
86,2019/3/5,0.96
87,2019/3/6,0.95
302,2019/3/8,0.89
89,2019/4/1,-0.31
90,2019/4/10,0.32
165,2019/4/11,-0.69
313,2019/4/12,-0.53
91,2019/4/16,-0.95
166,2019/4/17,-0.32
167,2019/4/18,0.93
164,2019/4/2,-0.07
310,2019/4/3,0.3
311,2019/4/4,0.96
312,2019/4/9,-0.56
