Date,Open,High,Low,Close,Volume%,Volume,Weighted_bitcoin_price,Address,generatedCoin,Mining_Difficulty,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,9d MA,15d MA,Lable
12/07/2015,293.14,314.39,292.51,310.87,0.11,186321.1443,302.73,319701,3375,51076366303,4.85,3959505.155,1159.12,37.65,1.1002,7266,26775,296.29,296.79,269.10,310.87
13/07/2015,310.83,310.95,281.01,292.05,-0.52,207739.6137,298.71,296403,3700,51076366303,4.9,2917571.429,1159.12,52.2,1.1002,8912,42326,298.68,288.45,271.97,292.05
14/07/2015,292.03,296.15,286.64,287.46,-0.04,98864.9895,290.57,285095,3600,51076366303,4.68,1157848.291,1156.53,53.04,1.1009,7770,50267,296.79,283.79,273.99,287.46
15/07/2015,288.05,293.25,285.37,285.83,0.84,95399.8334,288.12,275284,3825,51076366303,4.43,1701977.427,1151.64,51.41,1.095,7408,38595,288.45,281.13,275.51,285.83
16/07/2015,286.04,291.18,275.24,278.09,-0.43,175072.8842,282.64,275653,3350,51076366303,3.86,4480647.668,1144.5,50.91,1.0875,7666,35125,283.79,277.49,276.81,278.09
17/07/2015,278.09,280.28,272.04,279.47,-0.09,99439.21865,277.47,253340,3675,51076366303,3.75,2521202.667,1139.03,50.89,1.083,7071,29831,281.13,275.99,278.41,279.47
18/07/2015,279.33,282.53,274.08,274.9,-0.38,90695.68975,277.71,257392,3725,51076366303,3.95,2144668.354,1139.03,50.89,1.083,6207,25985,277.49,275.83,279.65,274.9
19/07/2015,274.77,275.67,272.51,273.61,0.47,55929.4521,274.14,290314,3800,51076366303,3.88,1209603.093,1115.75,50.15,1.0825,9122,25071,275.99,276.14,280.50,273.61
20/07/2015,273.5,278.98,272.96,278.98,0,82257.87758,276.1,284027,3900,51076366303,3.84,1104736.979,1115.75,50.15,1.0825,8820,36888,275.83,277.34,280.97,278.98
21/07/2015,278.88,280.55,275.42,275.83,-0.15,82582.56203,277.67,306249,3175,51076366303,3.87,1145149.871,1101.83,50.36,1.0935,8484,30095,276.14,276.37,281.42,275.83
22/07/2015,275.66,277.67,274.38,277.22,-0.05,70194.40321,276.23,295223,3850,51076366303,3.78,765132.2751,1096.74,49.19,1.0929,8727,44651,277.34,280.52,282.16,277.22
23/07/2015,277.34,278.11,275.72,276.05,0.97,66948.33815,276.8,256642,3500,51076366303,3.8,573089.4737,1094.73,48.45,1.0984,9252,33408,276.37,284.34,282.51,276.05
24/07/2015,276.01,289.25,275.25,288.28,-0.46,131819.2771,282.2,273643,4225,51076366303,4.22,3524715.64,1092.21,48.14,1.0984,7723,28664,280.52,289.89,283.78,288.28
25/07/2015,288.16,290.73,286,288.7,-0.23,71644.24411,288.4,243986,3850,52278304846,4.64,2217435.345,1092.21,48.14,1.0984,7085,21076,284.34,291.67,284.03,288.7
26/07/2015,288.64,293.05,287.71,292.69,0.89,55184.84097,290.52,298836,3600,52278304846,4.62,1720127.706,1099,47.39,1.1088,8297,15592,289.89,293.58,284.00,292.69
27/07/2015,292.64,297.77,287.45,293.62,-0.17,104455.9019,292.87,285200,3725,52278304846,4.67,1105867.238,1096.92,47.39,1.1088,9446,30972,291.67,292.55,282.85,293.62
28/07/2015,293.63,296.65,293.42,294.43,-0.02,86421.07765,294.53,298291,3400,52278304846,4.88,2178135.246,1096.86,47.98,1.106,9259,33519,293.58,290.58,283.01,294.43
29/07/2015,294.48,294.54,288.78,289.59,-0.11,84538.63286,291.85,321419,3800,52278304846,4.92,1343300.813,1103.57,48.79,1.0984,8886,37726,292.55,287.32,283.15,289.59
30/07/2015,289.1,290.13,286.57,287.72,0.1,75025.31382,288.38,276124,3350,52278304846,4.67,1160734.475,1095.66,48.52,1.0932,8411,33018,290.58,284.66,283.28,287.72
31/07/2015,287.7,288.96,282.34,284.65,-0.19,82645.23801,285.91,303868,3775,52278304846,4.62,1004469.697,1091.16,47.12,1.0984,7078,27789,287.32,282.95,283.72,284.65
1/08/2015,284.69,284.93,278.11,281.6,-0.06,67279.42479,282.33,298805,3875,52278304846,4.38,1434824.201,1091.16,48.8,1.0984,19155,26960,284.66,281.81,283.86,281.6
2/08/2015,280.45,283.03,277.53,282.61,0.21,63090.77964,280.9,298371,3775,52278304846,4.08,1703573.529,1091.26,48.8,1.095,13380,24294,282.95,283.02,284.37,282.61
3/08/2015,282.81,285.47,280.23,281.23,0.02,76030.66138,282.44,298021,3925,52278304846,4.18,1314495.215,1091.26,50.44,1.095,10226,35036,281.81,282.78,284.88,281.23
4/08/2015,281.23,285.71,281.23,285.22,-0.08,77320.27528,283.35,293112,3400,52278304846,4.3,1005572.093,1085.92,50.44,1.0881,8776,34486,283.02,281.89,285.30,285.22
5/08/2015,284.85,285.5,281.49,281.88,-0.06,71015.77109,283.43,316578,3325,52278304846,4.36,588307.3394,1086.35,59.41,1.0906,8297,31470,282.78,280.01,285.70,281.88
6/08/2015,281.91,281.91,278.4,278.58,1.27,67066.73804,280.2,295691,3575,52278304846,4.2,923707.1429,1088.06,58.14,1.0925,7852,35658,281.89,273.05,285.79,278.58
7/08/2015,278.74,280.39,276.37,279.58,0.42,152400.904,278.77,272880,3425,52278304846,4.11,1020148.418,1091.76,51.65,1.0967,7736,47467,280.01,268.55,286.03,279.58
8/08/2015,279.74,279.93,260.71,261,-0.58,216508.2301,270.35,273178,4025,52699842409,4.03,1220280.397,1091.76,51.65,1.0967,6784,29031,273.05,263.52,284.21,261
9/08/2015,261.12,267,260.47,265.08,-0.12,90310.53071,263.42,268041,3550,52699842409,3.88,789865.9794,1094.2,45.94,1.1019,6776,27132,268.55,266.65,282.63,265.08
10/08/2015,265.48,267.03,262.6,264.47,0.2,79197.43299,264.9,292852,4175,52699842409,3.93,569946.5649,1096.5,49.43,1.1019,7722,27744,263.52,267.08,280.75,264.47
11/08/2015,264.34,270.39,264.09,270.39,0.05,95151.14104,267.3,269443,4050,52699842409,4.05,846000,1106.28,49.43,1.1042,7975,26653,266.65,266.95,279.20,270.39
12/08/2015,270.6,270.67,265.47,266.38,0.05,99953.03414,268.28,277812,3150,52699842409,4.06,866970.4433,1116.29,37.51,1.1159,8033,29241,267.08,265.38,277.33,266.38
13/08/2015,266.18,266.23,262.84,264.08,-0.02,104540.6487,264.83,276354,3675,52699842409,3.92,614548.4694,1120.14,42.23,1.115,9529,31087,266.95,263.77,275.63,264.08
14/08/2015,264.13,267.47,261.48,265.68,-0.28,102350.6744,264.69,272462,3550,52699842409,3.96,797265.1515,1115.5,42.5,1.1109,7164,30737,265.38,261.91,274.16,265.68
15/08/2015,265.53,266.67,261.3,261.55,0.56,73252.5781,263.76,268286,3425,52699842409,3.98,506605.5276,1115.5,42.5,1.1109,6294,28722,263.77,259.35,272.62,261.55
16/08/2015,261.87,262.44,257.04,258.51,-0.27,114313.7406,259.96,279628,3450,52699842409,3.94,811604.0609,1116.38,41.87,1.1078,6528,24050,261.91,242.52,271.08,258.51
17/08/2015,258.49,260.51,257.12,257.98,1.15,83621.77008,258.52,283850,3675,52699842409,3.98,575140.7035,1116.38,41.87,1.1078,7516,37040,259.35,231.91,269.44,257.98
18/08/2015,257.93,257.99,211.08,211.08,0.48,179716.8685,234.52,302537,3525,52699842409,3.72,931284.9462,1117.02,42.62,1.1024,11266,28767,242.52,224.37,264.76,211.08
19/08/2015,225.67,237.41,222.77,226.68,-0.48,266818.0423,228.13,288421,3900,52699842409,3.48,1650192.529,1127.82,40.8,1.112,11741,28539,231.91,231.53,260.86,226.68
20/08/2015,226.9,237.37,226.9,235.35,-0.29,139338.6004,231.63,277371,3750,52699842409,3.54,814378.5311,1148.15,41.14,1.1242,10337,36462,224.37,232.77,257.76,235.35
