Date,Open,High,Low,Close,Volume,Weighted_bitcoin_price,bitcoin_sent,Address,generatedCoin,bitcoin_transactions,Mining_Difficulty,mine_a_block_min,Block_size,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,bitcoin_sent_inNum,Lable
26/07/2015,288.64,293.05,287.71,292.69,55184.84097,290.52,172289576,298836,3600,92632,52278304846,10.02,433771,4.62,1720127.706,1099,47.39,1.1088,8297,15592,593038.6066,292.69
27/07/2015,292.64,297.77,287.45,293.62,104455.9019,292.87,290081728,285200,3725,115077,52278304846,9.64,532105,4.67,1105867.238,1096.92,47.39,1.1088,9446,30972,990479.4892,293.62
28/07/2015,293.63,296.65,293.42,294.43,86421.07765,294.53,350544734,298291,3400,118214,52278304846,10.57,574468,4.88,2178135.246,1096.86,47.98,1.106,9259,33519,1190183.458,294.43
29/07/2015,294.48,294.54,288.78,289.59,84538.63286,291.85,319975925,321419,3800,143048,52278304846,9.49,840224,4.92,1343300.813,1103.57,48.79,1.0984,8886,37726,1096371.167,289.59
30/07/2015,289.1,290.13,286.57,287.72,75025.31382,288.38,294946511,276124,3350,122807,52278304846,10.65,777653,4.67,1160734.475,1095.66,48.52,1.0932,8411,33018,1022770.341,287.72
31/07/2015,287.7,288.96,282.34,284.65,82645.23801,285.91,288934988,303868,3775,147352,52278304846,9.53,756097,4.62,1004469.697,1091.16,47.12,1.0984,7078,27789,1010580.211,284.65
1/08/2015,284.69,284.93,278.11,281.6,67279.42479,282.33,219635191,298805,3875,147326,52278304846,9.36,729844,4.38,1434824.201,1091.16,48.8,1.0984,19155,26960,777937.8422,281.6
2/08/2015,280.45,283.03,277.53,282.61,63090.77964,280.9,180286651,298371,3775,103449,52278304846,9.57,428182,4.08,1703573.529,1091.26,48.8,1.095,13380,24294,641817.9103,282.61
3/08/2015,282.81,285.47,280.23,281.23,76030.66138,282.44,289689678,298021,3925,119687,52278304846,8.97,454973,4.18,1314495.215,1091.26,50.44,1.095,10226,35036,1025668.029,281.23
4/08/2015,281.23,285.71,281.23,285.22,77320.27528,283.35,332340266,293112,3400,132411,52278304846,10.82,797580,4.3,1005572.093,1085.92,50.44,1.0881,8776,34486,1172896.651,285.22
5/08/2015,284.85,285.5,281.49,281.88,71015.77109,283.43,347586782,316578,3325,133625,52278304846,10.86,800967,4.36,588307.3394,1086.35,59.41,1.0906,8297,31470,1226358.473,281.88
6/08/2015,281.91,281.91,278.4,278.58,67066.73804,280.2,320671424,295691,3575,134695,52278304846,10.04,785167,4.2,923707.1429,1088.06,58.14,1.0925,7852,35658,1144437.63,278.58
7/08/2015,278.74,280.39,276.37,279.58,152400.904,278.77,309721706,272880,3425,111208,52278304846,10.11,498201,4.11,1020148.418,1091.76,51.65,1.0967,7736,47467,1111029.544,279.58
8/08/2015,279.74,279.93,260.71,261,216508.2301,270.35,334918827,273178,4025,101351,52699842409,9.2,350409,4.03,1220280.397,1091.76,51.65,1.0967,6784,29031,1238834.204,261
9/08/2015,261.12,267,260.47,265.08,90310.53071,263.42,322047267,268041,3550,90392,52699842409,10.27,368554,3.88,789865.9794,1094.2,45.94,1.1019,6776,27132,1222561.943,265.08
10/08/2015,265.48,267.03,262.6,264.47,79197.43299,264.9,324651142,292852,4175,116674,52699842409,8.62,450406,3.93,569946.5649,1096.5,49.43,1.1019,7722,27744,1225561.125,264.47
