Date,Bitcoin
2016/5/15,11799
2016/5/16,11516
2016/5/17,8974
2016/5/18,9947
2016/5/19,12168
2016/5/20,8393
2016/5/21,6660
2016/5/22,7085
2016/5/23,8706
2016/5/24,8943
2016/5/25,8226
2016/5/26,8012
2016/5/27,7843
2016/5/28,7516
2016/5/29,7165
2016/5/30,12745
2016/5/31,13783
2016/6/1,10917
2016/6/2,9668
2016/6/3,9507
2016/6/4,7824
2016/6/5,11299
2016/6/6,10305
2016/6/7,9828
2016/6/8,9526
2016/6/9,9328
2016/6/10,8527
2016/6/11,7960
2016/6/12,8817
2016/6/13,12454
2016/6/14,10859
2016/6/15,10005
2016/6/16,10618
2016/6/17,10851
2016/6/18,8859
2016/6/19,9315
2016/6/20,11896
2016/6/21,11977
2016/6/22,9837
2016/6/23,9912
2016/6/24,19135
2016/6/25,12669
2016/6/26,8292
2016/6/27,11629
2016/6/28,10003
2016/6/29,10158
2016/6/30,9599
2016/7/1,8764
2016/7/2,7717
2016/7/3,8615
2016/7/4,9364
2016/7/5,9447
2016/7/6,9129
2016/7/7,9574
2016/7/8,8771
2016/7/9,8843
2016/7/10,10305
2016/7/11,10443
2016/7/12,10146
2016/7/13,10027
2016/7/14,9109
2016/7/15,8596
2016/7/16,7157
2016/7/17,8148
2016/7/18,8920
2016/7/19,8270
2016/7/20,8357
2016/7/21,8658
2016/7/22,9800
2016/7/23,6549
2016/7/24,7274
2016/7/25,9280
2016/7/26,10095
2016/7/27,10107
2016/7/28,9118
2016/7/29,8102
2016/7/30,7619
2016/7/31,68433
2016/8/1,7849
2016/8/2,8291
2016/8/3,18927
2016/8/4,12782
2016/8/5,9473
2016/8/6,7570
2016/8/7,13610
2016/8/8,12052
2016/8/9,11249
2016/8/10,9015
2016/8/11,8400
2016/8/12,7756
2016/8/13,6851
2016/8/14,6860
2016/8/15,7890
2016/8/16,8422
2016/8/17,8694
2016/8/18,10122
2016/8/19,8392
2016/8/20,6836
2016/8/21,7330
2016/8/22,8395
2016/8/23,8897
2016/8/24,9239
2016/8/25,8900
2016/8/26,8442
2016/8/27,7126
2016/8/28,7543
2016/8/29,8722
2016/8/30,8666
2016/8/31,9172
2016/9/1,8596
2016/9/2,8115
2016/9/3,7347
2016/9/4,7896
