Date,Block_size
2014-06-09 00:00:00 UTC,232622
2014-06-10 00:00:00 UTC,239050
2014-06-11 00:00:00 UTC,251776
2014-06-12 00:00:00 UTC,230418
2014-06-13 00:00:00 UTC,231058
2014-06-14 00:00:00 UTC,175539
2014-06-15 00:00:00 UTC,171802
2014-06-16 00:00:00 UTC,216450
2014-06-17 00:00:00 UTC,214620
2014-06-18 00:00:00 UTC,234857
2014-06-19 00:00:00 UTC,226365
2014-06-20 00:00:00 UTC,178435
2014-06-21 00:00:00 UTC,168138
2014-06-22 00:00:00 UTC,176881
2014-06-23 00:00:00 UTC,204361
2014-06-24 00:00:00 UTC,202053
2014-06-25 00:00:00 UTC,203568
2014-06-26 00:00:00 UTC,205765
2014-06-27 00:00:00 UTC,184047
2014-06-28 00:00:00 UTC,178339
2014-06-29 00:00:00 UTC,196856
2014-06-30 00:00:00 UTC,325751
2014-07-01 00:00:00 UTC,329402
2014-07-02 00:00:00 UTC,291681
2014-07-03 00:00:00 UTC,267268
2014-07-04 00:00:00 UTC,197774
2014-07-05 00:00:00 UTC,184143
2014-07-06 00:00:00 UTC,232487
2014-07-07 00:00:00 UTC,254280
2014-07-08 00:00:00 UTC,285394
2014-07-09 00:00:00 UTC,256588
2014-07-10 00:00:00 UTC,253823
2014-07-11 00:00:00 UTC,233474
2014-07-12 00:00:00 UTC,193903
2014-07-13 00:00:00 UTC,212886
2014-07-14 00:00:00 UTC,263035
2014-07-15 00:00:00 UTC,258661
2014-07-16 00:00:00 UTC,259492
2014-07-17 00:00:00 UTC,226245
2014-07-18 00:00:00 UTC,224514
2014-07-19 00:00:00 UTC,191395
2014-07-20 00:00:00 UTC,214038
2014-07-21 00:00:00 UTC,243838
2014-07-22 00:00:00 UTC,271551
2014-07-23 00:00:00 UTC,260616
2014-07-24 00:00:00 UTC,270031
2014-07-25 00:00:00 UTC,230668
2014-07-26 00:00:00 UTC,228282
2014-07-27 00:00:00 UTC,218658
2014-07-28 00:00:00 UTC,254153
2014-07-29 00:00:00 UTC,241563
2014-07-30 00:00:00 UTC,230701
2014-07-31 00:00:00 UTC,265432
2014-08-01 00:00:00 UTC,243289
2014-08-02 00:00:00 UTC,190202
2014-08-03 00:00:00 UTC,198485
2014-08-04 00:00:00 UTC,301306
2014-08-05 00:00:00 UTC,323926
2014-08-06 00:00:00 UTC,287598
2014-08-07 00:00:00 UTC,249787
2014-08-08 00:00:00 UTC,252675
2014-08-09 00:00:00 UTC,191162
2014-08-10 00:00:00 UTC,206576
2014-08-11 00:00:00 UTC,247431
2014-08-12 00:00:00 UTC,256544
2014-08-13 00:00:00 UTC,316761
2014-08-14 00:00:00 UTC,259323
2014-08-15 00:00:00 UTC,258699
2014-08-16 00:00:00 UTC,310692
2014-08-17 00:00:00 UTC,212324
2014-08-18 00:00:00 UTC,210610
2014-08-19 00:00:00 UTC,221731
2014-08-20 00:00:00 UTC,243004
2014-08-21 00:00:00 UTC,251584
2014-08-22 00:00:00 UTC,247983
2014-08-23 00:00:00 UTC,195526
2014-08-24 00:00:00 UTC,242154
2014-08-25 00:00:00 UTC,290532
2014-08-26 00:00:00 UTC,244667
2014-08-27 00:00:00 UTC,253810
2014-08-28 00:00:00 UTC,224508
2014-08-29 00:00:00 UTC,211672
2014-08-30 00:00:00 UTC,186332
2014-08-31 00:00:00 UTC,179603
2014-09-01 00:00:00 UTC,296363
2014-09-02 00:00:00 UTC,282462
2014-09-03 00:00:00 UTC,238546
2014-09-04 00:00:00 UTC,249914
2014-09-05 00:00:00 UTC,272766
2014-09-06 00:00:00 UTC,195682
2014-09-07 00:00:00 UTC,252389
2014-09-08 00:00:00 UTC,296770
2014-09-09 00:00:00 UTC,352553
2014-09-10 00:00:00 UTC,307049
2014-09-11 00:00:00 UTC,216341
2014-09-12 00:00:00 UTC,242385
2014-09-13 00:00:00 UTC,181350
2014-09-14 00:00:00 UTC,274822
2014-09-15 00:00:00 UTC,289002
2014-09-16 00:00:00 UTC,296313
2014-09-17 00:00:00 UTC,240645
2014-09-18 00:00:00 UTC,236703
2014-09-19 00:00:00 UTC,221353
2014-09-20 00:00:00 UTC,208402
2014-09-21 00:00:00 UTC,217996
2014-09-22 00:00:00 UTC,260388
2014-09-23 00:00:00 UTC,309576
2014-09-24 00:00:00 UTC,285509
2014-09-25 00:00:00 UTC,283577
2014-09-26 00:00:00 UTC,310115
2014-09-27 00:00:00 UTC,292426
2014-09-28 00:00:00 UTC,328592
2014-09-29 00:00:00 UTC,322686
2014-09-30 00:00:00 UTC,297151
2014-10-01 00:00:00 UTC,300234
2014-10-02 00:00:00 UTC,298949
