Date,Open,High,Low,Close,Weighted_bitcoin_price,Volume,Address,Mining_Difficulty,Weighted_litecoin_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,Lable
7/08/2015,278.74,280.39,276.37,279.58,278.77,152400.904,272880,52278304846,4.11,51.65,1.0967,7736,47467,280.01,261
8/08/2015,279.74,279.93,260.71,261,270.35,216508.2301,273178,52699842409,4.03,51.65,1.0967,6784,29031,273.05,265.08
9/08/2015,261.12,267,260.47,265.08,263.42,90310.53071,268041,52699842409,3.88,45.94,1.1019,6776,27132,268.55,264.47
10/08/2015,265.48,267.03,262.6,264.47,264.9,79197.43299,292852,52699842409,3.93,49.43,1.1019,7722,27744,263.52,270.39
11/08/2015,264.34,270.39,264.09,270.39,267.3,95151.14104,269443,52699842409,4.05,49.43,1.1042,7975,26653,266.65,266.38
12/08/2015,270.6,270.67,265.47,266.38,268.28,99953.03414,277812,52699842409,4.06,37.51,1.1159,8033,29241,267.08,264.08
13/08/2015,266.18,266.23,262.84,264.08,264.83,104540.6487,276354,52699842409,3.92,42.23,1.115,9529,31087,266.95,265.68
14/08/2015,264.13,267.47,261.48,265.68,264.69,102350.6744,272462,52699842409,3.96,42.5,1.1109,7164,30737,265.38,261.55
15/08/2015,265.53,266.67,261.3,261.55,263.76,73252.5781,268286,52699842409,3.98,42.5,1.1109,6294,28722,263.77,258.51
16/08/2015,261.87,262.44,257.04,258.51,259.96,114313.7406,279628,52699842409,3.94,41.87,1.1078,6528,24050,261.91,257.98
17/08/2015,258.49,260.51,257.12,257.98,258.52,83621.77008,283850,52699842409,3.98,41.87,1.1078,7516,37040,259.35,211.08
18/08/2015,257.93,257.99,211.08,211.08,234.52,179716.8685,302537,52699842409,3.72,42.62,1.1024,11266,28767,242.52,226.68
19/08/2015,225.67,237.41,222.77,226.68,228.13,266818.0423,288421,52699842409,3.48,40.8,1.112,11741,28539,231.91,235.35
20/08/2015,226.9,237.37,226.9,235.35,231.63,139338.6004,277371,52699842409,3.54,41.14,1.1242,10337,36462,224.37,232.57
21/08/2015,235.35,236.43,231.72,232.57,234.02,99024.86967,282522,52699842409,3.59,40.45,1.1386,9526,39012,231.53,230.39
22/08/2015,232.66,234.96,222.7,230.39,230.18,100816.3177,297783,54256630328,3.53,40.45,1.1386,7411,34967,232.77,228.17
23/08/2015,230.38,232.71,225.58,228.17,229.21,80304.52424,288022,54256630328,3.45,38.24,1.1619,8932,27692,230.38,210.49
24/08/2015,228.11,228.14,210.44,210.49,219.3,270044.2316,307879,54256630328,3.19,38.24,1.1619,11436,34342,223.02,221.61
25/08/2015,210.07,226.32,199.57,221.61,214.39,284944.2605,288411,54256630328,2.88,39.31,1.1517,9503,37941,220.09,225.83
26/08/2015,222.08,231.18,220.2,225.83,224.82,141482.0745,285266,54256630328,2.94,38.6,1.1314,10627,33987,219.31,224.77
27/08/2015,226.05,228.64,223.68,224.77,225.79,97016.69693,277794,54256630328,2.91,42.56,1.1246,8331,34558,224.07,231.4
28/08/2015,224.7,235.22,220.93,231.4,228.06,137405.0688,297477,54256630328,2.86,45.22,1.1185,7371,39945,227.33,229.78
29/08/2015,231.55,233.22,227.33,229.78,230.47,74380.61353,287960,54256630328,2.89,45.22,1.1185,8043,14768,228.65,228.76
30/08/2015,229.9,232.07,226.25,228.76,229.24,84682.4289,284866,54256630328,2.85,49.2,1.1211,9233,32134,229.98,230.06
31/08/2015,229.11,231.96,225.91,230.06,229.26,90337.17177,304796,54256630328,2.84,49.2,1.1211,8710,35949,229.53,228.12
1/09/2015,230.26,231.22,226.86,228.12,229.12,89800.97765,307795,54256630328,2.84,48.35,1.1315,9295,37021,228.98,229.28
2/09/2015,228.03,230.58,226.48,229.28,228.59,82070.08181,290567,54256630328,2.8,52.99,1.1227,8402,39013,229.15,227.18
3/09/2015,229.32,229.6,226.67,227.18,228.19,76611.5956,303103,54256630328,2.7,49.95,1.1123,7967,42474,228.19,230.3
4/09/2015,227.21,230.9,227.05,230.3,228.86,91594.86149,265574,56957648455,2.67,50.79,1.1149,6925,36321,228.92,235.02
5/09/2015,230.2,236.14,229.44,235.02,232.7,88832.83197,318521,56957648455,2.8,50.79,1.1149,5814,29023,230.83,239.84
6/09/2015,234.87,242.91,234.68,239.84,238.08,106996.3878,294414,56957648455,3,60.14,1.117,6183,35583,235.05,239.85
7/09/2015,239.93,242.11,238.72,239.85,240.15,88245.67978,317821,56957648455,3.04,52.78,1.117,7366,38792,238.24,243.61
8/09/2015,239.85,245.78,239.68,243.61,242.23,110965.6112,334615,56957648455,3.06,52.78,1.1203,8373,46889,241.1,238.17
9/09/2015,243.41,244.42,237.82,238.17,240.96,98089.72444,303151,56957648455,2.98,44.15,1.1207,7966,16909,240.54,238.48
10/09/2015,238.34,241.29,235.79,238.48,238.48,88961.33848,286880,56957648455,2.93,49.63,1.128,8087,37882,240.09,240.11
11/09/2015,238.33,241.17,238.33,240.11,239.48,80276.84984,317309,56957648455,2.96,43.87,1.1338,7807,38518,238.92,235.23
