Date,Weighted_bitcoin_price,Volume,bitcoin_sent,Address,generatedCoin,bitcoin_transactions,Mining_Difficulty,mine_a_block_min,Block_size,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,bitcoin_sent_inNum
4/7/15,258.26,103669.6966,336275245,309193,3375,143977,49402014931,10.78,634471,3.99,1782751.88,1173.51,48.69,1.1053,12957,29052,1289745.119
5/7/15,266.48,83719.45772,343719226,316488,3850,141999,49402014931,9.33,476935,4.02,1564293.532,1167.64,48.69,1.1084,9802,27119,1335194.911
6/7/15,271.29,74467.13615,317947971,301162,4025,129558,49402014931,8.95,430265,4.09,1046767.726,1167.45,53.95,1.1114,8307,25771,1243927.899
7/7/15,268.08,60483.23395,236795017,377347,3800,104430,49402014931,9.43,388086,4.11,958408.7591,1167.45,53.95,1.1114,8947,23847,916886.1496
8/7/15,268.53,165701.366,300494197,307720,3550,114942,49402014931,10.21,442218,4.52,3112676.991,1170.43,58.99,1.1056,8692,24976,1127642.589
9/7/15,269.87,181189.1334,405054831,342128,4525,173889,49402014931,7.95,507758,5.18,4434208.494,1170.43,58.99,1.1056,10263,36903,1493069.523
10/7/15,279.36,107645.479,328201871,324880,3350,190613,49402014931,10.77,769014,5.26,2580000,1163.54,52.33,1.1011,11220,29915,1224268.394
11/7/15,290.01,137713.4771,338481934,323601,4025,201586,49402014931,8.94,737151,5.78,4019878.893,1156.11,43.87,1.1077,11147,36474,1260499.512
12/7/15,302.73,149335.606,354683133,327766,3325,191030,49402014931,10.82,744733,6.93,6121183.261,1160.57,43.87,1.1036,9613,30281,1314274.032
13/7/15,298.71,359357.1019,513622076,322375,3850,192866,49402014931,9.28,644446,6.21,10082544.28,1161.53,47.81,1.1162,8269,29616,1838566.996
14/7/15,290.57,141753.3878,370297385,319744,3700,186052,51076366303,9.7,746483,4.34,4527027.65,1161.53,47.81,1.1162,6960,24645,1276843.505
15/7/15,288.12,186321.1443,379809427,319701,3375,208550,51076366303,10.66,776860,4.85,3959505.155,1159.12,37.65,1.1002,7266,26775,1254614.432
16/7/15,282.64,207739.6137,391738872,296403,3700,159547,51076366303,9.75,717928,4.9,2917571.429,1159.12,52.2,1.1002,8912,42326,1311435.412
17/7/15,277.47,98864.9895,370201546,285095,3600,122474,51076366303,9.92,716007,4.68,1157848.291,1156.53,53.04,1.1009,7770,50267,1274052.882
18/7/15,277.71,95399.8334,363487458,275284,3825,115417,51076366303,9.54,662800,4.43,1701977.427,1151.64,51.41,1.095,7408,38595,1261583.569
19/7/15,274.14,175072.8842,391068762,275653,3350,114253,51076366303,10.7,699366,3.86,4480647.668,1144.5,50.91,1.0875,7666,35125,1383628.51
20/7/15,276.1,99439.21865,326646867,253340,3675,116759,51076366303,9.72,676602,3.75,2521202.667,1139.03,50.89,1.083,7071,29831,1177233.095
21/7/15,277.67,90695.68975,246481424,257392,3725,130546,51076366303,9.8,654658,3.95,2144668.354,1139.03,50.89,1.083,6207,25985,887549.6885
22/7/15,276.23,55929.4521,197428492,290314,3800,120735,51076366303,9.45,639914,3.88,1209603.093,1115.75,50.15,1.0825,9122,25071,720173.9695
23/7/15,276.8,82257.87758,275565827,284027,3900,125102,51076366303,9.21,439029,3.84,1104736.979,1115.75,50.15,1.0825,8820,36888,998065.2916
24/7/15,282.2,82582.56203,293229912,306249,3175,133658,51076366303,11.33,535470,3.87,1145149.871,1101.83,50.36,1.0935,8484,30095,1056037.426
25/7/15,288.4,70194.40321,289410526,295223,3850,131105,51076366303,9.38,463089,3.78,765132.2751,1096.74,49.19,1.0929,8727,44651,1047715.766
26/7/15,290.52,66948.33815,312203374,256642,3500,109480,51076366303,10.32,401368,3.8,573089.4737,1094.73,48.45,1.0984,9252,33408,1127902.363
27/7/15,292.87,131819.2771,344958941,273643,4225,109749,51076366303,8.47,376293,4.22,3524715.64,1092.21,48.14,1.0984,7723,28664,1222391.712
28/7/15,294.53,71644.24411,219380218,243986,3850,100390,52278304846,9.38,354706,4.64,2217435.345,1092.21,48.14,1.0984,7085,21076,760680.3675
29/7/15,291.85,55184.84097,172289576,298836,3600,92632,52278304846,10.02,433771,4.62,1720127.706,1099,47.39,1.1088,8297,15592,593038.6066
30/7/15,288.38,104455.9019,290081728,285200,3725,115077,52278304846,9.64,532105,4.67,1105867.238,1096.92,47.39,1.1088,9446,30972,990479.4892
31/7/15,285.91,86421.07765,350544734,298291,3400,118214,52278304846,10.57,574468,4.88,2178135.246,1096.86,47.98,1.106,9259,33519,1190183.458
1/8/15,282.33,84538.63286,319975925,321419,3800,143048,52278304846,9.49,840224,4.92,1343300.813,1103.57,48.79,1.0984,8886,37726,1096371.167
2/8/15,280.9,75025.31382,294946511,276124,3350,122807,52278304846,10.65,777653,4.67,1160734.475,1095.66,48.52,1.0932,8411,33018,1022770.341
3/8/15,282.44,82645.23801,288934988,303868,3775,147352,52278304846,9.53,756097,4.62,1004469.697,1091.16,47.12,1.0984,7078,27789,1010580.211
4/8/15,283.35,67279.42479,219635191,298805,3875,147326,52278304846,9.36,729844,4.38,1434824.201,1091.16,48.8,1.0984,19155,26960,777937.8422
5/8/15,283.43,63090.77964,180286651,298371,3775,103449,52278304846,9.57,428182,4.08,1703573.529,1091.26,48.8,1.095,13380,24294,641817.9103
6/8/15,280.2,76030.66138,289689678,298021,3925,119687,52278304846,8.97,454973,4.18,1314495.215,1091.26,50.44,1.095,10226,35036,1025668.029
7/8/15,278.77,77320.27528,332340266,293112,3400,132411,52278304846,10.82,797580,4.3,1005572.093,1085.92,50.44,1.0881,8776,34486,1172896.651
8/8/15,270.35,71015.77109,347586782,316578,3325,133625,52278304846,10.86,800967,4.36,588307.3394,1086.35,59.41,1.0906,8297,31470,1226358.473
9/8/15,263.42,67066.73804,320671424,295691,3575,134695,52278304846,10.04,785167,4.2,923707.1429,1088.06,58.14,1.0925,7852,35658,1144437.63
10/8/15,264.9,152400.904,309721706,272880,3425,111208,52278304846,10.11,498201,4.11,1020148.418,1091.76,51.65,1.0967,7736,47467,1111029.544
11/8/15,267.3,216508.2301,334918827,273178,4025,101351,52699842409,9.2,350409,4.03,1220280.397,1091.76,51.65,1.0967,6784,29031,1238834.204
12/8/15,268.28,90310.53071,322047267,268041,3550,90392,52699842409,10.27,368554,3.88,789865.9794,1094.2,45.94,1.1019,6776,27132,1222561.943
13/8/15,264.83,79197.43299,324651142,292852,4175,116674,52699842409,8.62,450406,3.93,569946.5649,1096.5,49.43,1.1019,7722,27744,1225561.125
14/8/15,264.69,95151.14104,309321812,269443,4050,114579,52699842409,8.67,410415,4.05,846000,1106.28,49.43,1.1042,7975,26653,1157208.425
15/8/15,263.76,99953.03414,358608226,277812,3150,117772,52699842409,11.61,503204,4.06,866970.4433,1116.29,37.51,1.1159,8033,29241,1336693.85
16/8/15,259.96,104540.6487,383318344,276354,3675,117360,52699842409,9.83,444049,3.92,614548.4694,1120.14,42.23,1.115,9529,31087,1447412.846
17/8/15,258.52,102350.6744,365425419,272462,3550,111113,52699842409,10.18,433369,3.96,797265.1515,1115.5,42.5,1.1109,7164,30737,1380578.862
18/8/15,234.52,73252.5781,273605267,268286,3425,94807,52699842409,10.46,391478,3.98,506605.5276,1115.5,42.5,1.1109,6294,28722,1037326.611
19/8/15,228.13,114313.7406,281170353,279628,3450,89360,52699842409,10.49,378583,3.94,811604.0609,1116.38,41.87,1.1078,6528,24050,1081590.833
20/8/15,231.63,83621.77008,391570447,283850,3675,114902,52699842409,9.81,425368,3.98,575140.7035,1116.38,41.87,1.1078,7516,37040,1514662.104
21/8/15,234.02,179716.8685,456235577,302537,3525,119657,52699842409,10.18,479367,3.72,931284.9462,1117.02,42.62,1.1024,11266,28767,1945401.573
22/8/15,230.18,266818.0423,376761205,288421,3900,119995,52699842409,9.14,414436,3.48,1650192.529,1127.82,40.8,1.112,11741,28539,1651519.769
23/8/15,229.21,139338.6004,369506652,277371,3750,118080,52699842409,9.68,407439,3.54,814378.5311,1148.15,41.14,1.1242,10337,36462,1595245.227
24/8/15,219.3,99024.86967,330450657,282522,4125,113627,52699842409,8.66,366045,3.59,479284.1226,1157.67,40.45,1.1386,9526,39012,1412061.606
25/8/15,214.39,100816.3177,291984277,297783,3950,105507,54256630328,9.2,378242,3.53,542130.3116,1157.67,40.45,1.1386,7411,34967,1268504.114
26/8/15,224.82,80304.52424,235199888,288022,3350,94395,54256630328,10.75,408777,3.45,598846.3768,1159.2,38.24,1.1619,8932,27692,1026132.752
27/8/15,225.79,270044.2316,438127375,307879,3875,125213,54256630328,9.31,464596,3.19,2281702.194,1159.2,38.24,1.1619,11436,34342,1997844.847
28/8/15,228.06,284944.2605,442053117,288411,3375,121838,54256630328,10.53,486048,2.88,3959826.389,1146.39,39.31,1.1517,9503,37941,2061911.083
29/8/15,230.47,141482.0745,357042430,285266,4025,122691,54256630328,8.94,384750,2.94,1548173.469,1132.57,38.6,1.1314,10627,33987,1588125.745
30/8/15,229.24,97016.69693,338595745,277794,3425,119942,54256630328,10.57,438590,2.91,665336.7698,1125.05,42.56,1.1246,8331,34558,1499604.699
31/8/15,229.26,137405.0688,381083565,297477,3875,120230,54256630328,9.37,413005,2.86,1463825.175,1131.18,45.22,1.1185,7371,39945,1670979.413
1/9/15,229.12,74380.61353,218754824,287960,4000,107329,54256630328,8.97,351047,2.89,590332.1799,1131.18,45.22,1.1185,8043,14768,949168.3256
2/9/15,228.59,84682.4289,179334165,284866,3750,98189,54256630328,9.63,372107,2.85,525431.5789,1132.78,49.2,1.1211,9233,32134,782298.748
3/9/15,228.19,90337.17177,290538621,304796,3925,127103,54256630328,9.12,454286,2.84,617225.3521,1132.78,49.2,1.1211,8710,35949,1267288.759
4/9/15,228.86,89800.97765,325379386,307795,3850,130256,54256630328,9.24,451844,2.84,484521.1268,1140.52,48.35,1.1315,9295,37021,1420126.51
5/9/15,232.7,82070.08181,316897408,290567,4000,149906,54256630328,8.99,755694,2.8,865360.7143,1137.22,52.99,1.1227,8402,39013,1386313.522
6/9/15,238.08,76611.5956,277863323,303103,3650,128536,54256630328,10.04,494698,2.7,818737.037,1127.81,49.95,1.1123,7967,42474,1217684.048
7/9/15,240.15,91594.86149,252953475,265574,3900,103817,56957648455,9.23,355467,2.67,539898.8764,1124.08,50.79,1.1149,6925,36321,1105276.042
8/9/15,242.23,88832.83197,210800568,318521,3675,124071,56957648455,9.68,448417,2.8,952435.7143,1124.08,50.79,1.1149,5814,29023,905889.8496
9/9/15,240.96,106996.3878,227904982,294414,3600,106149,56957648455,10.04,411318,3,1427120,1121.25,60.14,1.117,6183,35583,957262.1892
10/9/15,238.48,88245.67978,245112540,317821,3800,125315,56957648455,9.46,477578,3.04,741621.7105,1121.25,52.78,1.117,7366,38792,1020664.335
11/9/15,239.48,110965.6112,340200342,334615,3400,125243,56957648455,10.64,692283,3.06,838660.1307,1121.86,52.78,1.1203,8373,46889,1404451.728
12/9/15,237.49,98089.72444,313376377,303151,3725,126308,56957648455,9.58,728355,2.98,771298.6577,1113.77,44.15,1.1207,7966,16909,1300532.773
13/9/15,232.75,88961.33848,326168956,286880,4275,124780,56957648455,8.52,698637,2.93,484750.8532,1109.46,49.63,1.128,8087,37882,1367699.413
14/9/15,230.41,80276.84984,291050156,317309,3950,179844,56957648455,9.12,698082,2.96,422790.5405,1107.64,43.87,1.1338,7807,38518,1215342.225
15/9/15,237.45,75635.18464,185927808,274687,3375,137605,56957648455,10.52,662131,2.9,523255.1724,1107.64,37.16,1.1338,6732,32205,782886.8921
16/9/15,229.49,79393.34049,196033532,322602,3775,145897,56957648455,9.62,623393,2.82,470950.3546,1107.9,37.16,1.1317,6759,40350,842249.3319
17/9/15,229.53,91132.32933,290385382,307697,3800,166563,56957648455,9.44,742593,2.82,402741.1348,1107.63,44,1.1317,9968,16262,1260298.52
18/9/15,233.26,80765.63487,301898171,326856,4000,162839,56957648455,8.99,697781,2.85,322143.5088,1106.87,44.59,1.1269,8844,20470,1271417.861
19/9/15,232.16,87778.11669,327659231,299221,3550,167127,56957648455,9.9,675849,2.81,424505.3381,1113.36,47.15,1.129,8529,45085,1427771.28
20/9/15,231.47,82496.4057,300831983,316949,3600,259135,59335351234,10.27,705268,2.86,568783.2168,1125.02,46.9,1.1435,8761,33180,1310643.415
21/9/15,229.01,86779.55929,297987077,314363,3675,161357,59335351234,9.63,556746,2.94,534945.5782,1134.93,44.68,1.1298,9291,31747,1277488.969
22/9/15,228.78,54757.92557,252167716,271138,3125,114726,59335351234,11.71,469263,2.91,308522.6804,1134.93,44.68,1.1298,7344,39778,1086180.72
23/9/15,230.66,62404.19925,211144137,341423,3200,109030,59335351234,11.3,479239,2.86,345940.2098,1135.9,46.68,1.119,7185,65535,912187.9164
24/9/15,232.71,85929.87206,368135310,350680,3300,131547,59335351234,10.84,602382,2.83,362978.7986,1135.9,46.68,1.119,8482,59563,1607507.576
25/9/15,235.15,109315.9367,343192461,355943,3925,136627,59335351234,9.25,486307,2.83,509660.7774,1128.8,45.83,1.112,9391,82378,1500098.177
26/9/15,234.54,74803.1735,289911373,294921,3950,131242,59335351234,9.01,459781,2.87,314258.1882,1128.17,44.48,1.1186,40016,42946,1256877.538
27/9/15,233.48,107850.1139,281582169,295738,3500,125227,59335351234,10.39,487709,2.9,458086.2069,1143.4,44.91,1.123,7567,46527,1210013.188
28/9/15,235.95,95103.55092,320123674,295114,4100,128002,59335351234,8.78,428839,2.92,328754.1096,1147.1,45.7,1.1195,9114,41322,1361359.447
29/9/15,237.86,58514.96546,238535521,310240,3675,115475,59335351234,9.66,437718,2.89,183950.519,1147.1,45.7,1.1195,5945,41039,1017035.563
30/9/15,236.52,60732.82508,176113324,326824,3725,108600,59335351234,9.79,442062,2.88,259722.5694,1138.51,44.43,1.1244,6308,30532,754297.2589
1/10/15,236.9,104738.292,351668924,302930,3575,138427,59335351234,10.07,514718,2.98,873916.1074,1138.51,44.43,1.1244,7258,35355,1490438.33
2/10/15,237.42,95397.71294,402221532,353417,4350,140490,59335351234,8.26,464740,3.05,949547.541,1129.62,45.23,1.1249,7439,40135,1691001.144
3/10/15,238.05,83474.9704,335851177,329484,3700,139700,59335351234,9.76,514060,3,457030,1120.7,45.09,1.1177,7521,43080,1419969.461
4/10/15,238.42,86487.12537,372921443,298058,3725,134178,60813224039,9.65,457236,3,548003.3333,1115.03,45.09,1.1195,6915,41189,1574172.406
5/10/15,238.99,82882.23402,408358236,311843,3450,139608,60813224039,10.44,528039,3,377393.3333,1124.72,50.06,1.1216,6633,35561,1719982.461
6/10/15,243.37,69240.49569,238265135,259753,3625,119422,60813224039,9.95,392751,3.02,348264.9007,1124.72,48.42,1.1216,5799,49494,1000903.739
7/10/15,244.6,54521.43277,206171110,306296,3825,103378,60813224039,9.38,372705,3.02,325311.5894,1138.13,51.63,1.1188,6556,33909,864739.1578
8/10/15,242.95,97643.83447,325419595,290693,3825,125395,60813224039,9.4,423255,3.02,422867.5497,1136.23,51.63,1.1188,7937,32712,1361645.236
9/10/15,243.2,113140.8966,420297259,325572,3550,144368,60813224039,10.13,542647,3.08,640487.013,1144.75,61.43,1.1272,10580,39541,1726988.778
10/10/15,244.27,94027.80049,356082859,308697,3325,134798,60813224039,10.85,686500,3.11,545102.8939,1149.92,52.74,1.1237,9002,38773,1455776.202
11/10/15,245.8,76210.33134,488375666,314037,3500,140208,60813224039,10.31,658225,3.06,371875.817,1147.17,44.96,1.1276,7988,35461,2010190.023
12/10/15,246.2,71353.20724,309151271,265620,3150,114518,60813224039,11.25,595056,3.09,316530.4207,1148.95,45.92,1.1358,6977,30426,1271181.213
13/10/15,247.18,65143.89815,290436487,323737,4000,126845,60813224039,9.05,632632,3.11,321816.7203,1148.95,45.92,1.1358,5760,29433,1188997.777
14/10/15,251.16,68459.31652,238335849,294439,3650,104404,60813224039,9.89,541174,3.12,391891.0256,1162.61,44.21,1.1358,6282,27940,969633.2343
15/10/15,253.61,70626.72624,344985193,309767,3550,134268,60813224039,10.18,575100,3.15,397463.4921,1162.61,36.76,1.1358,7768,34146,1401239.614
16/10/15,259.31,114080.8318,412011459,306238,3425,134741,60813224039,10.46,555197,3.16,508218.3544,1168.9,46.66,1.1379,7733,31813,1666847.88
17/10/15,267.34,109343.0483,425102059,309792,3800,141833,60813224039,9.52,526126,3.16,563851.2658,1177.07,46.64,1.1474,9130,28030,1692554.782
18/10/15,266.25,99457.82895,502036863,365671,4150,153329,60883825480,8.65,538090,3.13,456322.6837,1183.43,46.38,1.1386,7470,37296,1979562.569
19/10/15,262.77,138450.1176,477869562,335835,3600,143142,60883825480,10.04,577965,3.11,473569.1318,1179.85,47.26,1.1348,6956,36070,1842850.496
20/10/15,266.77,161590.484,406798831,370216,3400,135775,60883825480,10.57,599780,3.1,791864.5161,1179.85,47.26,1.1348,5901,31701,1521653.441
21/10/15,267.55,84260.28169,280710480,334791,3625,119561,60883825480,9.98,532675,3.04,400585.5263,1173.58,45.89,1.1327,6319,25220,1054311.662
22/10/15,270.79,96125.12844,385603023,349102,4125,143804,60883825480,8.65,510530,3.03,409099.0099,1173.58,45.89,1.1327,8297,35703,1467454.515
23/10/15,275.59,115791.8806,415427049,400900,3200,146221,60883825480,11.26,689353,3.07,378938.1107,1172.87,45.55,1.1346,8665,42914,1557248
24/10/15,279.09,95822.46309,373002234,356706,3600,150055,60883825480,10.08,565292,3.09,319897.0874,1171.79,45.2,1.1339,8204,38896,1394140.288
25/10/15,285.16,139623.3243,421422055,344306,3700,147254,60883825480,9.73,546734,3.1,392029.0323,1167.8,45.38,1.1109,8587,44027,1556268.898
26/10/15,283.68,106834.428,394049138,370420,3725,143319,60883825480,9.64,555678,3.11,384758.8424,1167.47,44.6,1.1018,8024,37326,1429838.303
27/10/15,290.05,92953.52754,372412102,377017,3625,139983,60883825480,9.81,525397,3.1,308100.3226,1167.47,44.6,1.1018,6160,36013,1334379.956
28/10/15,299.59,160320.8725,399864540,372966,3875,131333,60883825480,9.27,527246,3.1,534429.0323,1163.36,43.98,1.1058,6783,30139,1402246.248
29/10/15,309.54,113186.6892,432816702,375812,4100,116236,60883825480,8.91,477430,3.09,362401.2945,1164.56,43.98,1.1058,8519,37096,1525721.595
30/10/15,322.52,159737.2867,526893100,355490,3675,153593,60883825480,9.81,546608,3.1,355641.9355,1165.26,43.2,1.1051,9033,50484,1816559.559
31/10/15,321.18,169592.1092,596889151,350477,3475,160036,60883825480,10.28,592793,3.1,462322.5806,1165.2,45.94,1.0923,9695,45782,1992353.386
1/11/15,319.95,208360.4704,709078060,382999,3775,160911,62253982450,9.5,591662,3.47,3301412.104,1152.96,46.06,1.0977,10211,45960,2290747.755
2/11/15,343.92,242791.1447,804982639,378895,4275,166524,62253982450,8.5,517576,3.94,3098020.305,1144.39,46.59,1.1006,9029,32577,2495915.413
3/11/15,385.21,151311.1028,574842543,367606,3675,155253,62253982450,9.72,540261,3.94,1376939.086,1144.39,46.59,1.1006,6855,35257,1789783.122
4/11/15,422.83,115646.5073,526049717,392575,3825,152335,62253982450,9.52,541944,3.88,979762.8866,1142.05,48.8,1.1016,8294,31402,1644162.266
5/11/15,404.14,296342.1726,821406309,397127,3825,171955,62253982450,9.4,625830,4.07,1548498.771,1137.78,48.8,1.1016,10020,35962,2388364.471
6/11/15,378.1,535193.7904,1303733293,448868,3875,186207,62253982450,9.31,683602,4.41,4217709.751,1125.18,48.06,1.0964,11545,42652,3384474.165
7/11/15,380.94,624127.9001,4647446927,497257,3875,204043,62253982450,9.2,784127,4.54,4967797.357,1111.28,48.06,1.0866,14390,54768,10991289.47
8/11/15,379.06,375674.2515,1469531516,445547,3650,182663,62253982450,9.94,729977,4.08,3190514.706,1106.68,59.23,1.0884,16294,51405,3636194.18
9/11/15,375.69,324482.941,1013244028,431450,3625,166748,62253982450,9.95,658057,3.73,2349034.853,1098.24,60.77,1.0741,11448,43351,2679830.807
10/11/15,356.83,148645.7185,844082466,366087,3800,151345,62253982450,9.43,536131,3.6,732916.6667,1098.24,60.77,1.0741,8075,36433,2215788.486
11/11/15,323.12,136700.2585,721546668,377659,3475,132411,62253982450,10.29,548015,3.53,679756.3739,1091.72,43.08,1.0752,7956,39567,1903515.718
12/11/15,327.67,181597.5938,1125531854,418274,3725,159687,62253982450,9.68,623500,3.38,1241402.367,1091.72,44.63,1.0752,11166,45103,2995905.811
13/11/15,335.56,268469.3103,1060557295,394737,3650,161816,62253982450,9.91,606812,3.26,1707214.724,1090.59,44.63,1.0724,10928,43853,2972164.042
14/11/15,334.42,331362.9611,1074744805,375284,4200,158761,65848255180,8.53,524536,3.04,1200167.763,1088.51,42.93,1.0743,9358,34774,3326147.577
15/11/15,326.34,239502.5483,980219396,370346,4025,157686,65848255180,8.95,524627,3.13,1320504.792,1084.78,35.62,1.0814,9258,38371,2991483.493
16/11/15,324.5,154973.7752,944879478,358038,4000,154667,65848255180,8.91,493297,3.24,693669.7531,1083.99,40.74,1.0773,8749,35364,2815828.698
17/11/15,333.35,115459.6017,1021761057,386718,3550,150332,65848255180,10.13,541817,3.21,403034.2679,1083.99,40.74,1.0773,6794,30226,3055322.819
18/11/15,334.09,135481.7062,697205262,418112,4000,143209,65848255180,9.19,498394,3.14,557398.0892,1087.72,41.74,1.0686,7023,32216,2136438.261
19/11/15,330.36,147858.5516,855230911,402214,4325,158143,65848255180,8.23,521452,3.12,505772.4359,1087.72,41.74,1.0686,8825,35757,2635534.394
20/11/15,321.78,152997.1501,639658585,380647,3725,156539,65848255180,9.77,557605,3.2,502193.75,1076.2,40.67,1.0642,9949,36957,1918879.811
21/11/15,324.2,131053.9076,599413634,413132,3825,165116,65848255180,9.41,598408,3.19,446996.8652,1070.83,40.75,1.066,9285,40387,1794168.14
22/11/15,324.95,136248.6378,665255492,357979,3400,154347,65848255180,10.59,609871,3.16,458534.8101,1077.58,40.54,1.0734,8819,32915,2013728.938
23/11/15,323.45,165183.9766,709869034,358006,4175,155607,65848255180,8.58,505331,3.12,544307.6923,1081.1,40.39,1.0646,8254,33652,2206069.47
24/11/15,321.06,86984.88587,478580709,374521,4350,150861,65848255180,8.3,468868,3.14,336643.3121,1081.1,40.39,1.0646,7416,25295,1476189.725
25/11/15,323.54,72132.32805,365035885,376446,4300,129487,65848255180,8.37,437165,3.14,341009.5541,1070.34,41.75,1.0636,7287,17983,1123360.163
26/11/15,343.99,84955.63456,429818472,342182,4075,145109,65848255180,8.7,515722,3.13,443853.0351,1070.34,41.75,1.0636,8246,21268,1328855.996
27/11/15,355.34,91455.17972,458285232,384100,3900,152168,72722780643,9.38,523032,3.12,483993.5897,1073.83,42.87,1.0643,7454,20427,1427413.044
28/11/15,356.56,128784.3852,606914095,364227,3700,151713,72722780643,9.69,558613,3.22,893571.4286,1076.15,43.04,1.0624,7164,27288,1875854.902
29/11/15,364.09,308453.7341,719615416,387024,4400,164495,72722780643,8.2,536884,3.51,2478632.479,1072.4,43.04,1.061,9513,24681,2091966.092
30/11/15,375.38,155285.3605,760546628,359600,3325,160102,72722780643,10.75,649564,3.58,776717.8771,1064.23,41.71,1.0593,7169,25861,2140334.969
1/12/15,368.85,103254.9921,695399326,414002,3850,165522,72722780643,9.42,551229,3.54,477906.7797,1064.23,41.71,1.0593,6462,25749,1950301.004
2/12/15,358.18,110987.1186,498026106,321393,3725,129701,72722780643,9.6,453507,3.6,755663.8889,1061.55,41.65,1.0565,7059,24219,1367865.379
3/12/15,362.02,191010.7091,922911696,489674,4050,182486,72722780643,8.92,672512,3.65,914882.1918,1061.55,41.65,1.0565,9143,26261,2458606.468
4/12/15,360.93,163893.7237,911506830,413030,4175,177945,72722780643,8.62,567074,3.53,804994.3343,1067.97,46.06,1.0633,9392,25143,2471212.769
5/12/15,376.42,151210.2853,977350204,427478,4025,183362,72722780643,8.94,655985,3.38,725591.716,1063.88,51.17,1.0615,8799,23887,2728656.553
6/12/15,392.06,140088.6691,752349354,361065,3550,164632,72722780643,10.1,643186,3.38,574979.2899,1054.98,47.12,1.094,8288,23460,2078198.315
7/12/15,392.72,99144.15538,963096778,418070,3825,173433,72722780643,9.48,588732,3.37,395599.4065,1074.5,47.12,1.0881,8029,22066,2668375.524
8/12/15,404.2,176085.7553,1839135698,456577,4375,186019,72722780643,8.19,574139,3.45,772333.3333,1074.5,60.72,1.0881,7077,22531,4885860.735
9/12/15,415.35,198342.0905,2159091304,430043,3975,179553,79102380900,9.11,594406,3.51,1157598.291,1077.66,59.96,1.0837,7456,22728,5507043.065
10/12/15,416.13,161580.2607,1258482078,435598,3675,192683,79102380900,9.82,688185,3.56,1182837.079,1077.66,59.96,1.0837,8731,25413,3204527.597
11/12/15,433.61,143001.9792,1187810088,455232,4375,195046,79102380900,8.23,617038,3.64,754087.9121,1073.17,43.3,1.0892,15178,24716,2938669.193
12/12/15,441.79,218892.9818,1646808160,490303,4200,220155,79102380900,8.56,687724,3.68,1224673.913,1075.89,43.3,1.1025,63357,33862,3964868.569
13/12/15,433.34,125294.7396,1346630161,493281,5400,211820,79102380900,6.67,532228,3.65,695394.5205,1072.64,47.1,1.0941,28831,25232,3236080.458
14/12/15,438.76,255861.2578,1629778020,460519,4000,210099,79102380900,9.01,637256,3.76,1352781.915,1072.09,41.75,1.0986,15030,26210,3758626.462
15/12/15,454.6,298714.3213,1451065153,531936,4050,203979,79102380900,8.8,689175,3.73,1662600.536,1072.09,41.75,1.0986,10109,23062,3284513.35
16/12/15,457.3,127037.8917,2267878391,478113,3550,189772,79102380900,10.2,688831,3.62,889107.7348,1068.02,36.31,1.0992,9965,21459,5233485.003
17/12/15,454.4,297420.0018,2138951089,528953,4875,231282,79102380900,7.41,629964,3.63,829608.8154,1068.02,36.31,1.0992,10789,32070,4874991.086
18/12/15,459.9,182844.4875,1988605600,494618,4575,223815,79102380900,7.88,621392,3.72,1377626.344,1061.33,37.35,1.0931,13363,28842,4374407.391
19/12/15,462.06,236046.3591,2021023875,483265,4075,220257,79102380900,8.8,676313,3.76,965077.1277,1067.5,35.52,1.0912,12503,27652,4419470.534
20/12/15,450.47,105586.2676,1899861387,457030,3875,216142,79102380900,9.23,676608,3.73,601790.8847,1060.18,34.95,1.0826,10082,23729,4181032.982
21/12/15,438.38,130941.7265,1863880166,452097,4225,213678,93448670796,8.58,611859,3.76,702816.4894,1059.78,34.73,1.0868,8657,24189,4052794.447
22/12/15,438.3,103650.3917,1792575198,505082,3925,213719,93448670796,9.18,653255,3.74,395890.3743,1059.78,34.73,1.0868,7633,21372,3879529.061
23/12/15,440.07,167401.6028,1787783156,474385,4125,193682,93448670796,8.64,600066,3.63,785986.2259,1070.3,34.74,1.0915,7718,19855,3968706.364
24/12/15,449.9,177105.9264,2324925063,502101,3725,229295,93448670796,9.57,766528,3.5,641274.2857,1072.85,34.74,1.0915,9199,24803,5303446.925
25/12/15,455.22,115994.5243,2103837002,486000,3750,222567,93448670796,9.78,749793,3.44,397116.2791,1075.83,36.14,1.0957,8303,25707,4799993.16
26/12/15,434.07,107167.9506,1977171893,472140,3925,220918,93448670796,9.14,686931,3.51,648002.849,1071.05,37.5,1.0912,8266,26011,4492857.711
27/12/15,418.05,127044.2321,2125909638,448474,3450,210090,93448670796,10.36,729632,3.62,699113.2597,1073.53,38.1,1.0963,7148,23679,4725293.705
28/12/15,423.47,85845.30557,1776785075,377620,4050,180221,93448670796,8.93,528244,3.64,447489.011,1073.53,38.1,1.096,6632,21240,3903134.913
29/12/15,427.17,267620.4299,1154763526,419932,4275,179192,93448670796,8.47,542835,3.52,1102286.932,1073.53,38.1,1.096,8664,21795,2660316.368
30/12/15,429.1,128193.2783,601819357,406454,5125,160066,93448670796,7.02,447306,3.44,595581.3953,1071.28,36.81,1.0968,13392,32284,1439587.028
