Date,Address
16-Apr-16,409222
17-Apr-16,478093
18-Apr-16,478493
19-Apr-16,480065
20-Apr-16,465440
21-Apr-16,477575
22-Apr-16,440135
23-Apr-16,434758
24-Apr-16,457552
25-Apr-16,495022
26-Apr-16,524750
27-Apr-16,471935
28-Apr-16,460497
29-Apr-16,516695
30-Apr-16,440383
01-May-16,431043
02-May-16,483655
03-May-16,466136
04-May-16,499193
05-May-16,457956
06-May-16,454721
07-May-16,419100
08-May-16,440127
09-May-16,485976
10-May-16,495896
11-May-16,471725
12-May-16,453620
13-May-16,459124
14-May-16,459068
15-May-16,424165
16-May-16,511728
17-May-16,479751
18-May-16,511106
19-May-16,460727
20-May-16,444375
21-May-16,503204
22-May-16,445657
23-May-16,516632
24-May-16,515910
25-May-16,492139
26-May-16,460231
27-May-16,529637
28-May-16,482086
29-May-16,427912
30-May-16,548662
31-May-16,477711
01-Jun-16,508356
02-Jun-16,478409
03-Jun-16,496183
04-Jun-16,447527
05-Jun-16,463369
06-Jun-16,511064
07-Jun-16,510791
08-Jun-16,482261
09-Jun-16,525140
10-Jun-16,506021
11-Jun-16,466112
12-Jun-16,519556
13-Jun-16,577587
14-Jun-16,526645
15-Jun-16,594513
16-Jun-16,582328
17-Jun-16,586166
18-Jun-16,561728
19-Jun-16,514944
20-Jun-16,563282
21-Jun-16,592437
22-Jun-16,546794
23-Jun-16,549165
24-Jun-16,547545
25-Jun-16,529844
26-Jun-16,501782
27-Jun-16,483625
28-Jun-16,541226
29-Jun-16,466288
30-Jun-16,506973
01-Jul-16,494905
02-Jul-16,446260
03-Jul-16,429466
04-Jul-16,504550
05-Jul-16,488121
06-Jul-16,465240
07-Jul-16,467526
08-Jul-16,463200
09-Jul-16,438235
10-Jul-16,400076
11-Jul-16,492779
12-Jul-16,476759
13-Jul-16,452818
14-Jul-16,475270
15-Jul-16,452552
16-Jul-16,467772
17-Jul-16,434166
18-Jul-16,496566
19-Jul-16,468926
20-Jul-16,477671
21-Jul-16,446246
22-Jul-16,467862
23-Jul-16,447396
24-Jul-16,433804
25-Jul-16,498664
26-Jul-16,507457
27-Jul-16,477076
28-Jul-16,494972
29-Jul-16,465294
30-Jul-16,450533
31-Jul-16,492077
01-Aug-16,515927
02-Aug-16,538166
03-Aug-16,517165
04-Aug-16,488412
05-Aug-16,477072
06-Aug-16,425211
07-Aug-16,447578
08-Aug-16,530901
09-Aug-16,491165
10-Aug-16,531356
11-Aug-16,531345
12-Aug-16,491194
13-Aug-16,455323
14-Aug-16,455991
15-Aug-16,500686
16-Aug-16,537436
17-Aug-16,523675
18-Aug-16,528979
19-Aug-16,508749
20-Aug-16,495671
21-Aug-16,446866
22-Aug-16,526727
23-Aug-16,512461
24-Aug-16,513945
25-Aug-16,489493
26-Aug-16,483713
27-Aug-16,456265
28-Aug-16,427997
29-Aug-16,500187
30-Aug-16,548999
31-Aug-16,497980
01-Sep-16,486458
02-Sep-16,477624
03-Sep-16,464611
04-Sep-16,438972
05-Sep-16,541919
06-Sep-16,519346
07-Sep-16,525784
08-Sep-16,500357
09-Sep-16,491674
10-Sep-16,446010
11-Sep-16,458631
12-Sep-16,510506
13-Sep-16,530408
14-Sep-16,491556
15-Sep-16,494413
16-Sep-16,474551
17-Sep-16,509415
18-Sep-16,463470
19-Sep-16,505154
20-Sep-16,533341
21-Sep-16,514307
22-Sep-16,496593
23-Sep-16,488936
24-Sep-16,473858
25-Sep-16,465836
26-Sep-16,540295
27-Sep-16,549579
28-Sep-16,547163
29-Sep-16,553367
30-Sep-16,559609
01-Oct-16,498339
02-Oct-16,462255
03-Oct-16,628813
04-Oct-16,600999
05-Oct-16,585521
06-Oct-16,621273
07-Oct-16,577273
08-Oct-16,549445
09-Oct-16,509901
10-Oct-16,514281
11-Oct-16,601465
12-Oct-16,544859
13-Oct-16,547741
14-Oct-16,532160
15-Oct-16,501726
16-Oct-16,482676
17-Oct-16,550541
18-Oct-16,588298
19-Oct-16,459988
20-Oct-16,624199
21-Oct-16,584321
22-Oct-16,524550
23-Oct-16,525340
24-Oct-16,581792
25-Oct-16,617973
26-Oct-16,613898
27-Oct-16,721678
28-Oct-16,570194
29-Oct-16,541665
30-Oct-16,472384
31-Oct-16,579849
01-Nov-16,602670
02-Nov-16,585172
03-Nov-16,593610
04-Nov-16,547623
05-Nov-16,555971
06-Nov-16,519672
07-Nov-16,628572
08-Nov-16,662890
09-Nov-16,614664
10-Nov-16,611576
11-Nov-16,557455
12-Nov-16,572164
13-Nov-16,539464
14-Nov-16,633190
15-Nov-16,653384
16-Nov-16,616360
17-Nov-16,627629
18-Nov-16,625829
19-Nov-16,579057
20-Nov-16,579558
21-Nov-16,609893
22-Nov-16,609321
23-Nov-16,646475
24-Nov-16,735177
25-Nov-16,682916
26-Nov-16,664484
27-Nov-16,572082
28-Nov-16,709141
29-Nov-16,650263
30-Nov-16,637060
01-Dec-16,596125
02-Dec-16,732676
03-Dec-16,703995
04-Dec-16,644845
05-Dec-16,670364
06-Dec-16,748679
07-Dec-16,768077
08-Dec-16,651835
09-Dec-16,616032
10-Dec-16,594520
11-Dec-16,568515
12-Dec-16,637404
13-Dec-16,663897
14-Dec-16,619913
15-Dec-16,611935
16-Dec-16,638084
17-Dec-16,585323
18-Dec-16,565086
19-Dec-16,659635
20-Dec-16,651525
21-Dec-16,704306
22-Dec-16,683218
23-Dec-16,659622
24-Dec-16,550962
25-Dec-16,470730
26-Dec-16,590003
27-Dec-16,647978
28-Dec-16,660743
29-Dec-16,654659
30-Dec-16,642264
31-Dec-16,571945
01-Jan-17,463524
02-Jan-17,703956
03-Jan-17,654614
04-Jan-17,696386
05-Jan-17,651157
06-Jan-17,717134
07-Jan-17,645716
08-Jan-17,597145
09-Jan-17,611419
10-Jan-17,701527
11-Jan-17,638259
12-Jan-17,623555
13-Jan-17,591030
14-Jan-17,592806
15-Jan-17,551772
16-Jan-17,632449
17-Jan-17,657197
18-Jan-17,649975
19-Jan-17,685645
20-Jan-17,663085
21-Jan-17,637023
22-Jan-17,564645
23-Jan-17,620376
24-Jan-17,723324
25-Jan-17,711276
26-Jan-17,721023
27-Jan-17,662445
28-Jan-17,661095
29-Jan-17,644559
30-Jan-17,644885
31-Jan-17,677356
01-Feb-17,790453
02-Feb-17,639858
03-Feb-17,715695
04-Feb-17,655219
05-Feb-17,689329
06-Feb-17,619108
07-Feb-17,717417
08-Feb-17,665656
09-Feb-17,758515
10-Feb-17,658325
11-Feb-17,628956
12-Feb-17,568401
13-Feb-17,669492
14-Feb-17,675342
15-Feb-17,630944
16-Feb-17,670733
17-Feb-17,695647
18-Feb-17,689424
19-Feb-17,597242
20-Feb-17,657687
21-Feb-17,645626
22-Feb-17,634528
23-Feb-17,700730
24-Feb-17,766916
25-Feb-17,745056
26-Feb-17,657119
27-Feb-17,664567
28-Feb-17,699527
01-Mar-17,681438
02-Mar-17,735135
03-Mar-17,734179
04-Mar-17,624702
05-Mar-17,694648
06-Mar-17,680973
07-Mar-17,738069
08-Mar-17,687751
09-Mar-17,705823
10-Mar-17,744240
11-Mar-17,697665
12-Mar-17,594463
13-Mar-17,691402
14-Mar-17,740057
15-Mar-17,675317
16-Mar-17,734444
17-Mar-17,709455
18-Mar-17,685027
19-Mar-17,675490
20-Mar-17,651290
21-Mar-17,693278
22-Mar-17,745066
23-Mar-17,678638
24-Mar-17,703673
25-Mar-17,616232
26-Mar-17,588054
27-Mar-17,600367
28-Mar-17,735755
29-Mar-17,683505
30-Mar-17,694171
31-Mar-17,630967
01-Apr-17,639653
02-Apr-17,652269
03-Apr-17,736053
04-Apr-17,635711
05-Apr-17,745792
06-Apr-17,701254
07-Apr-17,718080
08-Apr-17,600050
09-Apr-17,656647
10-Apr-17,690857
11-Apr-17,753921
12-Apr-17,689626
13-Apr-17,611531
14-Apr-17,703291
15-Apr-17,687253
16-Apr-17,592441
17-Apr-17,604963
18-Apr-17,709072
19-Apr-17,723144
20-Apr-17,688123
21-Apr-17,791946
22-Apr-17,686367
23-Apr-17,644281
24-Apr-17,608289
25-Apr-17,738873
26-Apr-17,768513
27-Apr-17,723992
28-Apr-17,727287
29-Apr-17,828936
30-Apr-17,724937
01-May-17,707250
02-May-17,787411
03-May-17,690007
04-May-17,851802
05-May-17,663371
06-May-17,872106
07-May-17,787633
08-May-17,889537
09-May-17,794529
10-May-17,735155
11-May-17,703578
12-May-17,745640
13-May-17,793153
14-May-17,893649
15-May-17,825608
16-May-17,655424
17-May-17,762466
18-May-17,742312
19-May-17,807946
20-May-17,851763
21-May-17,791586
22-May-17,773303
23-May-17,876753
24-May-17,806743
25-May-17,842960
26-May-17,818388
27-May-17,892643
28-May-17,856639
29-May-17,766059
30-May-17,848314
31-May-17,819588
01-Jun-17,838148
02-Jun-17,726206
03-Jun-17,883252
04-Jun-17,734744
05-Jun-17,767620
06-Jun-17,800493
07-Jun-17,878586
08-Jun-17,820508
09-Jun-17,764555
10-Jun-17,701424
11-Jun-17,667449
12-Jun-17,722926
13-Jun-17,768135
14-Jun-17,744121
15-Jun-17,796500
16-Jun-17,727787
17-Jun-17,665263
18-Jun-17,628651
19-Jun-17,729519
20-Jun-17,741906
21-Jun-17,755253
22-Jun-17,735737
23-Jun-17,710482
24-Jun-17,646742
25-Jun-17,534993
26-Jun-17,704387
27-Jun-17,696066
28-Jun-17,743276
29-Jun-17,621633
30-Jun-17,722889
01-Jul-17,642954
02-Jul-17,605013
03-Jul-17,668469
04-Jul-17,714285
05-Jul-17,651108
06-Jul-17,625934
07-Jul-17,737763
08-Jul-17,641547
09-Jul-17,549467
10-Jul-17,771121
11-Jul-17,770221
12-Jul-17,749635
13-Jul-17,680465
14-Jul-17,640696
15-Jul-17,634632
16-Jul-17,609552
17-Jul-17,692430
18-Jul-17,811433
19-Jul-17,717067
20-Jul-17,658031
21-Jul-17,749779
22-Jul-17,645094
23-Jul-17,533040
24-Jul-17,674883
25-Jul-17,697756
26-Jul-17,664407
27-Jul-17,681607
28-Jul-17,681262
29-Jul-17,641806
30-Jul-17,568497
31-Jul-17,706629
01-Aug-17,477477
02-Aug-17,591933
03-Aug-17,596154
04-Aug-17,665795
05-Aug-17,658939
06-Aug-17,538559
07-Aug-17,683046
08-Aug-17,789754
09-Aug-17,706721
10-Aug-17,733461
11-Aug-17,737678
12-Aug-17,693260
13-Aug-17,705051
14-Aug-17,689236
15-Aug-17,822011
16-Aug-17,688857
17-Aug-17,860903
18-Aug-17,728856
19-Aug-17,713770
20-Aug-17,617442
21-Aug-17,633972
22-Aug-17,529977
23-Aug-17,843676
24-Aug-17,548838
25-Aug-17,578206
26-Aug-17,618641
27-Aug-17,749676
28-Aug-17,654533
29-Aug-17,795732
30-Aug-17,799696
31-Aug-17,797085
01-Sep-17,782822
02-Sep-17,694986
03-Sep-17,586966
04-Sep-17,752544
05-Sep-17,784428
06-Sep-17,776418
07-Sep-17,768389
08-Sep-17,825480
09-Sep-17,627154
10-Sep-17,558828
11-Sep-17,734974
12-Sep-17,710521
13-Sep-17,718715
14-Sep-17,773640
15-Sep-17,833211
16-Sep-17,647176
17-Sep-17,588671
18-Sep-17,673775
19-Sep-17,786890
20-Sep-17,620733
21-Sep-17,694714
22-Sep-17,649021
23-Sep-17,568729
24-Sep-17,532701
25-Sep-17,658174
26-Sep-17,728985
27-Sep-17,691464
28-Sep-17,758808
29-Sep-17,743932
30-Sep-17,628485
01-Oct-17,624785
02-Oct-17,815069
03-Oct-17,785914
04-Oct-17,639802
05-Oct-17,727434
06-Oct-17,819066
07-Oct-17,670951
08-Oct-17,689838
09-Oct-17,800806
10-Oct-17,826210
11-Oct-17,780257
12-Oct-17,783622
13-Oct-17,819164
14-Oct-17,796789
15-Oct-17,826707
16-Oct-17,850054
17-Oct-17,873937
18-Oct-17,818815
19-Oct-17,910174
20-Oct-17,850258
21-Oct-17,805473
22-Oct-17,981728
23-Oct-17,877356
24-Oct-17,957976
25-Oct-17,919336
26-Oct-17,730711
27-Oct-17,673653
