Date,Average Sentiment
2018/9/20,-0.71
2018/9/23,0.49
2018/9/27,-0.14
2018/9/30,0.57
2018/10/2,-0.65
2018/10/3,0.45
2018/10/5,-0.86
2018/10/10,-0.13
2018/10/15,0
2018/10/21,0
2018/10/31,0.68
2018/11/1,0
2018/11/9,0.03
2018/11/14,0.2
2018/11/15,0.08
2018/11/16,-0.38
2018/11/20,0
2018/11/23,0.72
2018/11/26,-0.12
2018/11/28,-0.6
2018/12/5,-0.84
2018/12/9,0.54
2018/12/10,-0.27
2018/12/14,-0.72
2018/12/19,0.05
2018/12/20,0.51
2018/12/21,-0.72
2018/12/28,-0.13
2019/1/1,0.25
2019/1/4,0.09
2019/1/6,-0.94
2019/1/27,0.59
2019/1/28,0.25
2019/1/29,-0.08
2019/2/7,-0.91
2019/2/19,-0.86
2019/3/15,-0.78
2019/3/18,-0.25
2019/3/19,-0.49
2019/3/21,0
2019/3/22,0.27
2019/3/26,0
2019/3/29,0.58
2019/3/31,-0.36
2019/4/2,0.53
2019/4/3,0.82
2019/4/18,-0.73
2019/4/23,0.21
