Date,Average Sentiment
2018/4/11,0.29
2018/4/12,-0.02
2018/4/16,0.34
2018/4/18,-0.9
2018/4/20,0.98
2018/4/23,-0.42
2018/4/24,0.25
2018/4/25,-0.89
2018/4/26,0.4
2018/4/27,1
2018/5/2,0.34
2018/5/9,0.69
2018/5/11,0.3
2018/5/22,-0.57
2018/5/24,0.21
2018/5/31,1
2018/6/4,-0.44
2018/6/5,0.73
2018/6/7,0.08
2018/6/8,0.44
2018/6/11,-0.36
2018/6/12,0.79
2018/6/13,0.52
2018/6/14,-0.26
2018/6/15,1
2018/6/18,-0.97
2018/6/20,-0.32
2018/6/22,0
2018/6/27,0.89
2018/6/29,0.57
2018/7/3,0.01
2018/7/5,0.99
2018/7/13,0.98
2018/7/17,-1
2018/7/19,1
2018/7/27,-0.99
2018/8/2,0.76
2018/8/3,0.85
2018/8/6,0.99
2018/8/8,-0.53
2018/8/10,0.99
2018/8/15,-0.97
2018/8/17,-0.97
2018/8/20,-0.67
2018/8/21,0.46
2018/8/22,0.53
2018/8/23,-0.67
2018/8/28,1
2018/8/29,0.76
2018/8/30,0.13
2018/9/3,1
2018/9/5,0.78
2018/9/6,-0.38
2018/9/10,0.45
2018/9/11,-0.5
2018/9/12,0.3
2018/9/18,-0.36
2018/9/20,0.04
2018/9/21,-1
2018/9/22,0.99
2018/9/24,0.53
2018/9/25,0.25
2018/9/26,-0.95
2018/9/27,0.02
2018/9/28,-0.54
2018/10/1,0.13
2018/10/3,0.53
2018/10/10,1
2018/10/11,-0.59
2018/10/12,0
2018/10/17,-0.95
2018/10/18,0.99
2018/10/19,-0.97
2018/10/20,1
2018/10/22,0.41
2018/10/24,-0.24
2018/10/25,0.99
2018/10/26,0.99
2018/10/27,0.98
2018/10/30,0.99
2018/10/31,0.08
2018/11/1,0.86
2018/11/2,-0.78
2018/11/5,0.38
2018/11/8,0.39
2018/11/9,-0.48
2018/11/12,-0.32
2018/11/13,-0.44
2018/11/14,-0.31
2018/11/16,0.23
2018/11/19,0.32
2018/11/21,0
2018/11/22,0.23
2018/11/23,-1
2018/11/28,0.18
2018/11/29,0
2018/11/30,0.95
2018/12/3,0.94
2018/12/4,0.49
2018/12/7,0.92
2018/12/12,0.23
2018/12/17,0.99
2018/12/18,0.71
2018/12/19,0.1
2018/12/20,0.23
2018/12/27,-0.98
2018/12/28,-0.65
2018/12/31,-0.95
2019/1/3,-0.99
2019/1/8,-0.4
2019/1/15,0.99
2019/1/18,0.98
2019/1/22,-0.97
2019/1/23,0.4
2019/1/24,0.46
2019/1/25,1
2019/1/30,-0.97
2019/2/1,0.98
2019/2/5,-0.92
2019/2/6,0.98
2019/2/13,-0.88
2019/2/14,0.54
2019/2/15,0.61
2019/2/18,0.03
2019/2/19,0.72
2019/2/25,-0.54
2019/2/26,-0.98
2019/2/27,-0.36
2019/2/28,-0.28
2019/3/1,-0.99
2019/3/4,-0.63
2019/3/5,0.96
2019/3/6,0.95
2019/3/8,0.89
2019/3/11,0.97
2019/3/13,-0.27
2019/3/14,1
2019/3/15,-0.94
2019/3/19,0.22
2019/3/20,0.99
2019/3/22,0.27
2019/3/26,0.36
2019/3/28,0.68
2019/4/1,-0.31
2019/4/2,-0.07
2019/4/3,0.3
2019/4/4,0.96
2019/4/9,-0.56
2019/4/10,0.32
2019/4/11,-0.69
2019/4/12,-0.53
2019/4/16,-0.95
2019/4/17,-0.32
2019/4/18,0.93
